PROVINCIA,CANTON,Suma de Total Compras,Suma de Total Ventas,Suma de Ventas Netas 0%,Suma de Ventas Netas 12%,Suma de Habitantes,Suma de Importaciones,Suma de Exportaciones,Suma de Compras Rise,Suma de Compras netas 12%,Suma de Compras netas 0%
GUAYAS,COLIMES,54960300.31000005,57386408.44,37113425.379999995,19937500.82,26169,405682.1,335482.24,116486.61,27250706.619999982,27187424.979999993
GUAYAS,CORONEL MARCELINO MARIDUEÑA,372745547.5899998,518801666.9099999,306528947.76,159722256.21000007,13132,125605238.82,52550462.94,2920089.36,169224652.88999993,74006693.80999997
GUAYAS,DAULE,1702830944.7199993,2036771547.2800004,824749956.7699996,1179741014.73,173684,68087614.99999999,32295638.279999997,9170028.54,1143931949.03,480963183.1699999
GUAYAS,DURAN,8973476336.229996,10832377489.730007,5024162619.11,2571031705.920001,315724,2179194486.450001,3237184716.6100006,26274729.75999999,2182274890.369999,4492090733.12
GUAYAS,EL EMPALME,371491266.2500001,410391162.9899999,257061672.32000002,139339267.81,86073,1714593.04,13990222.86,20462997.94,157921049.25,191392626.01999992
GUAYAS,EL TRIUNFO,419270384.7199999,547161364.5,390577471.31000006,135346857.76,59636,17088497.509999998,21237035.430000003,11205114.96,172091863.44,218881757.86000004
GUAYAS,GENERAL ANTONIO ELIZALDE,97411798.25,109194338.57999995,79993927.15999997,29200342.419999994,13156,18983.6,69,2362528.340000001,37703482.92999998,57326803.38000002
GUAYAS,GUAYAQUIL,78536915840.77002,97810814004.81,30154157475.34,54060827923.55999,2723665,12549776519.719997,13596892387.790005,256653341.87,38077375615.969986,26653615016.419994
GUAYAS,ISIDRO AYORA,361871026.78999996,428691731.46000016,373330618.97,20329322.949999996,14582,59094238.55,35031789.53999999,481982.62999999995,87268981.07,214351585.0299999
GUAYAS,LOMAS DE SARGENTILLO,68219411.38,66880530.13000001,52319357.19000001,9554524.840000004,24220,730606.0000000001,5006648.1,1642474.7100000002,18150482.050000004,47572889.85000001
